,NTA_Code_y,NTA_Name_y,SE_A00001_001_y,SE_A03001_002_y,SE_A03001_003_y,SE_A03001_004_y,SE_A03001_005_y,SE_A03001_006_y,SE_A03001_007_y,SE_A03001_008_y,SE_A04001_010_y,SE_A13002_001_y,SE_A13002_002_y
0,BK09,Brooklyn Heights-Cobble Hill,24168.0,18570.0,1515.0,32.0,2236.0,10.0,546.0,1259.0,1770.0,4917.0,98.0
1,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,65631.0,43600.0,4769.0,129.0,13025.0,0.0,2625.0,1483.0,6021.0,17150.0,1991.0
2,BK19,Brighton Beach,34431.0,25600.0,333.0,69.0,4761.0,0.0,2659.0,1009.0,3673.0,8676.0,1794.0
3,BK21,Seagate-Coney Island,32259.0,13073.0,10289.0,68.0,2824.0,0.0,4937.0,1068.0,8992.0,7727.0,2301.0
4,BK23,West Brighton,16774.0,16098.0,280.0,0.0,139.0,4.0,21.0,232.0,660.0,4850.0,401.0
5,BK25,Homecrest,45007.0,35101.0,1109.0,341.0,4449.0,134.0,2465.0,1408.0,5294.0,11043.0,1638.0
6,BK26,Gravesend,30587.0,15617.0,3142.0,20.0,7127.0,0.0,3444.0,1237.0,6396.0,7818.0,1356.0
7,BK27,Bath Beach,33020.0,16429.0,482.0,117.0,12331.0,20.0,2579.0,1062.0,5975.0,8155.0,940.0
8,BK28,Bensonhurst West,90847.0,40293.0,879.0,228.0,38301.0,0.0,9186.0,1960.0,15263.0,21943.0,3272.0
9,BK29,Bensonhurst East,65502.0,30379.0,812.0,107.0,26963.0,5.0,5830.0,1406.0,8855.0,16487.0,2854.0
10,BK30,Dyker Heights,43888.0,21419.0,525.0,137.0,17765.0,22.0,3250.0,770.0,5998.0,10849.0,1623.0
11,BK31,Bay Ridge,79187.0,55327.0,2522.0,447.0,12377.0,69.0,5528.0,2917.0,14421.0,18895.0,2239.0
12,BK32,Sunset Park West,54667.0,23145.0,2522.0,336.0,8493.0,0.0,17616.0,2555.0,33628.0,11190.0,2501.0
13,BK33,Carroll Gardens-Columbia Street-Red Hook,43766.0,29267.0,5895.0,237.0,2698.0,268.0,2785.0,2616.0,7561.0,10599.0,1224.0
14,BK34,Sunset Park East,66348.0,17835.0,1471.0,186.0,34282.0,0.0,11456.0,1118.0,20494.0,14694.0,3940.0
15,BK35,Stuyvesant Heights,69260.0,12140.0,46383.0,378.0,2315.0,0.0,5015.0,3029.0,11885.0,14741.0,3074.0
16,BK37,Park Slope-Gowanus,74731.0,56210.0,4125.0,110.0,5745.0,10.0,4003.0,4528.0,11783.0,17289.0,640.0
17,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,45607.0,23684.0,9893.0,152.0,5400.0,48.0,4216.0,2214.0,8701.0,9732.0,1394.0
18,BK40,Windsor Terrace,22832.0,17413.0,981.0,12.0,2298.0,0.0,1334.0,794.0,3148.0,5374.0,270.0
19,BK41,Kensington-Ocean Parkway,35510.0,19538.0,2159.0,223.0,8667.0,0.0,3085.0,1838.0,5972.0,7764.0,1183.0
20,BK42,Flatbush,106883.0,30900.0,49391.0,336.0,10842.0,0.0,12058.0,3356.0,20021.0,24284.0,3293.0
21,BK43,Midwood,54637.0,42096.0,2701.0,150.0,6488.0,0.0,1981.0,1221.0,4150.0,12521.0,2009.0
22,BK44,Madison,40958.0,27819.0,1242.0,25.0,9262.0,76.0,1180.0,1354.0,3656.0,10433.0,1043.0
23,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,47726.0,34176.0,6398.0,112.0,4332.0,0.0,1854.0,854.0,4851.0,12432.0,617.0
24,BK46,Ocean Parkway South,20684.0,17831.0,267.0,244.0,850.0,0.0,1013.0,479.0,1661.0,4616.0,734.0
25,BK50,Canarsie,88522.0,5653.0,75892.0,138.0,2567.0,15.0,3048.0,1209.0,6305.0,21583.0,2405.0
26,BK58,Flatlands,72186.0,13262.0,51052.0,61.0,3539.0,11.0,3094.0,1167.0,6765.0,17450.0,1378.0
27,BK60,Prospect Lefferts Gardens-Wingate,69111.0,12964.0,49211.0,55.0,1607.0,27.0,3338.0,1909.0,6650.0,15065.0,2251.0
28,BK61,Crown Heights North,109987.0,20846.0,75197.0,143.0,3426.0,0.0,6859.0,3516.0,13611.0,23498.0,5301.0
29,BK63,Crown Heights South,40451.0,14119.0,24090.0,5.0,497.0,0.0,931.0,809.0,2500.0,8559.0,1240.0
30,BK64,Prospect Heights,21237.0,11756.0,5611.0,49.0,1669.0,0.0,801.0,1351.0,2146.0,4615.0,368.0
31,BK68,Fort Greene,32193.0,11891.0,12640.0,127.0,3010.0,0.0,2564.0,1961.0,5539.0,6312.0,903.0
32,BK69,Clinton Hill,38930.0,19348.0,13937.0,30.0,2499.0,27.0,1490.0,1599.0,4455.0,7120.0,624.0
33,BK72,Williamsburg,34373.0,30635.0,1848.0,20.0,182.0,11.0,1211.0,466.0,3073.0,7024.0,3170.0
34,BK73,North Side-South Side,57036.0,39630.0,3344.0,275.0,4077.0,8.0,7263.0,2439.0,18509.0,11698.0,1611.0
35,BK75,Bedford,77847.0,34400.0,31280.0,405.0,2502.0,13.0,6545.0,2702.0,16013.0,15019.0,4150.0
36,BK76,Greenpoint,33918.0,28096.0,1261.0,72.0,1678.0,6.0,1379.0,1426.0,4819.0,6353.0,519.0
