,NTACode,NTAName,date_time,ent,ext,ly_ent,ly_ext,ent_dif,ent_pct_dif
0,BK09,Brooklyn Heights-Cobble Hill,2020-02-22,4020.0,2681.0,4529.0,2655.0,-509.0,-0.11238684036211084
1,BK09,Brooklyn Heights-Cobble Hill,2020-02-23,3352.0,2631.0,3369.0,2206.0,-17.0,-0.0050460077174235675
2,BK09,Brooklyn Heights-Cobble Hill,2020-02-24,7601.0,4069.0,7902.0,4051.0,-301.0,-0.038091622374082514
3,BK09,Brooklyn Heights-Cobble Hill,2020-02-25,7899.0,4436.0,8341.0,3945.0,-442.0,-0.05299124805179235
4,BK09,Brooklyn Heights-Cobble Hill,2020-02-26,8184.0,4374.0,8549.0,4322.0,-365.0,-0.04269505205287168
5,BK09,Brooklyn Heights-Cobble Hill,2020-02-27,8363.0,4866.0,8331.0,3588.0,32.0,0.003841075501140319
6,BK09,Brooklyn Heights-Cobble Hill,2020-02-28,8071.0,4723.0,8411.0,3400.0,-340.0,-0.04042325526096778
7,BK09,Brooklyn Heights-Cobble Hill,2020-02-29,3731.0,2613.0,4345.0,2054.0,-614.0,-0.14131185270425778
8,BK09,Brooklyn Heights-Cobble Hill,2020-03-01,3274.0,2438.0,3689.0,1873.0,-415.0,-0.11249661154784495
9,BK09,Brooklyn Heights-Cobble Hill,2020-03-02,5734.0,3123.0,7177.0,3015.0,-1443.0,-0.20105893827504528
10,BK09,Brooklyn Heights-Cobble Hill,2020-03-03,10329.0,5848.0,8788.0,3575.0,1541.0,0.17535275375512063
11,BK09,Brooklyn Heights-Cobble Hill,2020-03-04,8281.0,4915.0,8623.0,3591.0,-342.0,-0.03966137075263829
12,BK09,Brooklyn Heights-Cobble Hill,2020-03-05,8011.0,4612.0,8595.0,4115.0,-584.0,-0.06794648051192553
13,BK09,Brooklyn Heights-Cobble Hill,2020-03-06,7646.0,4390.0,8313.0,3979.0,-667.0,-0.08023577529171178
14,BK09,Brooklyn Heights-Cobble Hill,2020-03-07,4433.0,2997.0,4269.0,2603.0,164.0,0.038416490981494494
15,BK09,Brooklyn Heights-Cobble Hill,2020-03-08,4954.0,3902.0,3911.0,2639.0,1043.0,0.26668371260547175
16,BK09,Brooklyn Heights-Cobble Hill,2020-03-09,7375.0,4551.0,8237.0,4068.0,-862.0,-0.10464975112298167
17,BK09,Brooklyn Heights-Cobble Hill,2020-03-10,7184.0,4475.0,8484.0,4425.0,-1300.0,-0.15322960867515323
18,BK09,Brooklyn Heights-Cobble Hill,2020-03-11,6607.0,4296.0,8664.0,4466.0,-2057.0,-0.23741920590951063
19,BK09,Brooklyn Heights-Cobble Hill,2020-03-12,5545.0,3651.0,8584.0,4507.0,-3039.0,-0.3540307548928239
20,BK09,Brooklyn Heights-Cobble Hill,2020-03-13,4182.0,3004.0,8219.0,4349.0,-4037.0,-0.49117897554447015
