station_lines,GTFS Stop ID
1 AV - L,L06
103 ST - 1,119
103 ST - 6,624
103 ST - BC,A18
103 ST-CORONA - 7,706
104 ST - A,A63
104 ST - JZ,J14
110 ST - 6,623
111 ST - 7,705
111 ST - A,A64
111 ST - J,J13
116 ST - 23,226
116 ST - 6,622
116 ST - BC,A16
116 ST-COLUMBIA - 1,117
121 ST - JZ,J12
125 ST - 1,116
125 ST - 23,225
125 ST - 456,621
125 ST - ABCD,A15
135 ST - 23,224
135 ST - BC,A14
137 ST CITY COL - 1,115
138/GRAND CONC - 45,416
14 ST - 123FLM,D19
14 ST - ACEL,A31
14 ST-UNION SQ - 456LNQRW,L03
145 ST - 1,114
145 ST - 3,302
145 ST - ABCD,A12
149/GRAND CONC - 245,222
15 ST-PROSPECT - FG,F25
155 ST - BD,D12
155 ST - C,A11
157 ST - 1,113
161/YANKEE STAD - 4BD,D11
163 ST-AMSTERDM - C,A10
167 ST - 4,413
167 ST - BD,D10
168 ST - 1AC,A09
169 ST - F,F02
170 ST - 4,412
170 ST - BD,D09
174 ST - 25,215
174-175 STS - BD,D08
175 ST - A,A07
176 ST - 4,410
18 AV - D,B19
18 AV - F,F30
18 AV - N,N05
18 ST - 1,131
181 ST - 1,111
181 ST - A,A06
182-183 STS - BD,D06
183 ST - 4,408
190 ST - A,A05
191 ST - 1,110
2 AV - F,F14
20 AV - D,B20
20 AV - N,N06
207 ST - 1,108
21 ST - G,G24
21 ST-QNSBRIDGE - F,B04
215 ST - 1,107
219 ST - 25,207
225 ST - 25,206
23 ST - 1,130
23 ST - 6,634
23 ST - CE,A30
23 ST - FM,D18
23 ST - NRW,R19
231 ST - 1,104
233 ST - 25,205
238 ST - 1,103
25 AV - D,B22
25 ST - R,R35
28 ST - 1,129
28 ST - 6,633
28 ST - NRW,R18
3 AV - L,L05
3 AV 138 ST - 6,619
3 AV-149 ST - 25,221
30 AV - NQW,R04
33 ST - 6,632
33 ST-RAWSON ST - 7,716
34 ST-HERALD SQ - BDFMNQRW,D17
34 ST-HUDSON YD - 7,726
34 ST-PENN STA - 123,128
34 ST-PENN STA - 123ACE,128
34 ST-PENN STA - ACE,A28
36 AV - NQW,R06
36 ST - DNR,R36
36 ST - MR,G20
39 AV - NQW,R08
4 AV-9 ST - DFGMNR,R33
40 ST LOWERY ST - 7,715
42 ST-BRYANT PK - 7BDFM,D16
45 ST - R,R39
46 ST - MR,G18
